255,65,130
255,67,126
255,68,122
255,70,118
255,71,114
255,72,109
255,74,104
255,75,99
255,76,92
255,78,85
255,80,78
255,87,76
255,93,74
255,98,72
255,102,70
255,106,68
255,110,66
255,113,64
255,117,61
255,120,59
255,122,56
255,125,53
255,127,50
255,130,47
255,132,43
255,134,39
255,136,34
255,138,28
255,140,21
255,142,10
254,144,2
253,146,8
251,149,14
249,151,18
248,153,22
247,155,25
245,157,28
244,158,30
243,160,32
241,162,34
240,164,36
239,165,38
238,167,40
237,169,42
236,170,43
235,172,45
234,173,46
233,175,48
232,176,49
231,178,50
230,179,52
229,180,53
228,182,54
227,183,56
226,185,57
225,186,58
224,187,60
223,189,61
223,190,62
222,191,63
221,193,65
220,194,66
219,195,67
218,197,69
217,198,70
216,199,71
215,201,72
214,202,74
213,203,75
212,204,77
211,206,78
210,207,79
209,208,81
207,209,81
204,208,81
202,208,81
199,208,81
196,208,80
194,207,80
191,207,80
188,207,80
186,207,80
183,206,79
180,206,79
177,206,79
175,206,79
172,205,79
169,205,79
166,205,78
163,205,78
160,204,78
156,204,78
153,204,78
150,204,77
146,203,77
143,203,77
139,203,77
135,203,76
131,203,76
127,202,76
122,202,76
118,202,75
113,202,75
107,202,75
101,202,75
95,201,74
88,201,74
80,201,73
73,201,75
74,200,84
75,199,91
76,198,97
76,196,102
77,195,107
77,194,111
78,193,114
78,192,118
79,191,121
79,190,123
80,189,126
80,188,128
81,187,130
81,186,132
82,185,133
82,184,135
82,183,136
83,182,137
83,181,139
83,180,140
83,179,141
84,178,141
84,177,142
84,176,143
84,175,144
85,174,144
85,173,145
85,172,146
85,171,146
85,170,146
86,169,147
86,168,147
86,167,147
86,166,148
86,166,148
86,165,148
86,164,148
86,163,149
87,162,149
87,161,149
87,160,149
87,159,149
87,158,149
87,157,149
87,157,149
87,156,149
87,155,149
87,154,149
87,153,149
87,152,149
87,151,149
87,150,149
87,149,148
87,149,148
87,148,148
86,147,148
86,146,148
85,145,148
85,145,148
85,144,148
84,143,148
84,142,148
83,141,148
83,141,147
82,140,147
82,139,147
82,138,147
81,137,147
81,137,147
80,136,147
80,135,147
79,134,147
79,133,147
78,132,147
78,132,147
78,131,147
77,130,147
77,129,147
76,128,147
76,128,147
75,127,147
75,126,147
74,125,147
74,124,147
73,124,148
73,123,148
72,122,148
72,121,148
71,120,149
71,119,149
70,118,150
70,118,150
69,117,151
69,116,151
68,115,152
67,114,153
67,113,154
66,112,155
65,111,156
64,110,158
64,109,159
63,108,161
62,107,163
61,106,165
60,105,168
58,103,171
57,102,175
55,100,180
53,98,185
50,96,192
47,94,200
42,90,211
34,86,225
16,78,245
22,70,255
44,64,255
61,59,255
75,54,255
87,49,255
97,43,255
107,39,255
115,35,255
122,31,255
128,27,255
135,22,255
140,16,255
145,7,255
150,2,254
153,13,249
156,20,244
158,24,240
161,28,236
163,31,232
165,34,229
167,36,226
169,38,224
171,40,221
173,42,219
175,43,217
176,45,215
178,46,213
180,47,211
181,48,209
183,49,207
185,50,206
186,51,204
188,52,203
